LOCALITA;DATA;TMEDIA 째C;TMIN 째C;TMAX 째C;PUNTORUGIADA 째C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bari;1/12/2021;"9";"3";"16";"4";"60";"21";"14";"24";"0";"1016";"0";"0";""
Bari;2/12/2021;"13";"8";"17";"6";"64";"21";"15";"31";"0";"1006";"0";"0";""
Bari;3/12/2021;"11";"9";"14";"9";"89";"18";"11";"18";"0";"1005";"0";"0";"pioggia "
Bari;4/12/2021;"10";"6";"13";"4";"71";"19";"13";"22";"0";"1011";"0";"0";""
Bari;5/12/2021;"12";"8";"16";"8";"77";"19";"15";"22";"0";"1005";"0";"0";"pioggia "
Bari;6/12/2021;"9";"7";"11";"8";"93";"17";"10";"28";"0";"1001";"0";"0";"pioggia "
Bari;7/12/2021;"7";"6";"9";"4";"77";"17";"23";"33";"0";"1006";"0";"0";"pioggia "
Bari;8/12/2021;"9";"5";"12";"3";"67";"19";"15";"24";"0";"1010";"0";"0";"pioggia "
Bari;9/12/2021;"11";"7";"14";"6";"75";"19";"16";"26";"0";"1003";"0";"0";"pioggia "
Bari;10/12/2021;"9";"4";"13";"3";"64";"19";"13";"22";"0";"1004";"0";"0";"pioggia "
Bari;11/12/2021;"10";"8";"13";"6";"78";"20";"12";"21";"0";"997";"0";"0";"pioggia "
Bari;12/12/2021;"9";"8";"11";"5";"77";"17";"20";"28";"0";"1013";"0";"0";"pioggia "
Bari;13/12/2021;"12";"10";"13";"3";"54";"19";"20";"24";"0";"1020";"0";"0";""
Bari;14/12/2021;"12";"11";"13";"3";"55";"24";"16";"21";"0";"1021";"0";"0";""
Bari;15/12/2021;"10";"6";"13";"4";"65";"18";"12";"18";"0";"1024";"0";"0";""
Bari;16/12/2021;"10";"8";"12";"5";"69";"19";"10";"15";"0";"1025";"0";"0";""
Bari;17/12/2021;"12";"9";"14";"6";"69";"20";"17";"22";"0";"1025";"0";"0";""
Bari;18/12/2021;"10";"9";"12";"0";"42";"20";"23";"31";"0";"1026";"0";"0";""
Bari;19/12/2021;"8";"4";"12";"4";"67";"22";"14";"22";"0";"1021";"0";"0";""
Bari;20/12/2021;"9";"2";"14";"5";"72";"20";"8";"15";"0";"1016";"0";"0";""
Bari;21/12/2021;"5";"0";"10";"1";"74";"19";"7";"13";"0";"1023";"0";"0";""
Bari;22/12/2021;"8";"2";"11";"2";"66";"19";"10";"21";"0";"1024";"0";"0";""
Bari;23/12/2021;"8";"3";"14";"4";"80";"14";"8";"15";"0";"1024";"0";"0";""
Bari;24/12/2021;"12";"9";"17";"6";"67";"19";"14";"22";"0";"1018";"0";"0";""
Bari;25/12/2021;"13";"9";"17";"7";"69";"20";"11";"17";"0";"1013";"0";"0";""
Bari;26/12/2021;"15";"11";"20";"8";"66";"19";"12";"22";"0";"1009";"0";"0";"pioggia "
Bari;27/12/2021;"12";"9";"15";"10";"87";"19";"10";"18";"0";"1009";"0";"0";"pioggia "
Bari;28/12/2021;"11";"8";"15";"9";"92";"16";"7";"13";"0";"1008";"0";"0";"pioggia "
Bari;29/12/2021;"12";"7";"17";"9";"82";"19";"11";"18";"0";"1009";"0";"0";""
Bari;30/12/2021;"10";"5";"14";"8";"88";"15";"12";"21";"0";"1016";"0";"0";"nebbia "
Bari;31/12/2021;"11";"6";"17";"7";"78";"20";"9";"15";"0";"1024";"0";"0";""
